smiles,D_pred,Dk,1E,1w,1D,2D,4D,1RI,2RI,4RI,1DK,2DK,4DK,1V,2V,4V
*CO*,1.141965866,3.72,-18.61880224,76.094,0.6385,0.7897,0.7144,1.140651324,1.160349359,1.181436422,1.301085442,1.346410634,1.395792019,119.184166,148.540848,210.442642
*CCO*,1.095922947,3.15,-21.77173685,90.12,0.6326,0.7545,0.6973,1.144597406,1.160786504,1.175909795,1.310103221,1.347425307,1.382763847,142.475769,192.476883,294.647888
*CCCO*,1.067026854,3.03,-24.93659557,104.146,0.6378,0.7395,0.6788,1.149285313,1.161095569,1.177580588,1.320856731,1.34814292,1.386696042,163.295624,239.071121,376.528931
*Oc1ccc(Cc2ccc(*)cc2)cc1,1.157557845,3.5,-48.3955128,228.2779,0.8224,0.9568,0.8757,1.291104009,1.331508273,1.349845042,1.666949561,1.77291428,1.822081637,277.573242,468.762939,809.957458
*CCCCCOCO*,1.064236999,3.06,-38.49670354,162.2239,0.6775,0.7775,0.739,1.161931907,1.178140594,1.190469791,1.350085757,1.38801526,1.417218323,239.460617,376.74588,656.956116
*CCOC(=O)CCCCC(=O)O*,1.204377532,3.25,-50.94735455,218.2439,0.8402,0.9957,0.9317,1.199802486,1.222187456,1.239461839,1.439526005,1.493742178,1.53626565,259.834381,419.054291,737.957092
*CCOC(=O)CCCCCCC(=O)O*,1.154475927,3.16,-57.27819322,246.2959,0.8132,0.9415,0.8787,1.194978097,1.21575348,1.231184605,1.427972652,1.478056524,1.515815532,302.946564,508.219788,899.770752
*CCOC(=O)c1ccc(C(=O)O*)cc1,1.313010812,3.82,-53.17045735,238.2319,0.9496,1.1378,1.0727,1.282825407,1.303623796,1.336097817,1.645641025,1.699435002,1.785157377,250.884933,401.23526,716.051147
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,1.247376561,3.59,-59.50126039,266.2839,0.8982,1.0626,0.9941,1.262070488,1.281414099,1.306288934,1.592821917,1.642022094,1.706390779,296.504761,489.392609,872.337158
*CC(=O)O*,1.285021544,3.99,-24.83226804,104.104,0.8194,1.1259,0.9581,1.191200485,1.226302175,1.263349828,1.418958596,1.503817024,1.596052789,127.059357,169.258469,247.148819
*CCCCCC(=O)O*,1.117743015,3.12,-37.49538207,160.2079,0.7262,0.8454,0.7922,1.174560218,1.191825381,1.206191542,1.379591705,1.420447739,1.454898036,220.658951,346.350098,594.582153
*CCC(=O)O*,1.230061173,3.39,-28.00196785,118.13,0.7713,0.9787,0.8809,1.177938078,1.202092132,1.224411441,1.387538115,1.445025494,1.499183376,153.166916,215.90303,341.650574
*Oc1ccc(CC(*)=O)cc1,1.237172246,3.52,-39.73187516,180.1959,0.8612,1.0813,1.0034,1.261991107,1.295886037,1.340374159,1.592621555,1.679320621,1.796602886,209.237869,313.257111,538.831543
*Cc1ccc(C(=O)O*)cc1,1.238512516,4.03,-39.72182098,180.1959,0.8646,1.0525,0.9712,1.262356987,1.276847203,1.313287739,1.593545163,1.630338779,1.724724685,208.422867,323.6539,553.528564
*OC(=O)c1ccc(C(*)=O)cc1,1.334147692,5,-42.785145,194.1799,0.9856,1.241,1.1423,1.304411963,1.388607315,1.448456663,1.701490568,1.928230274,2.098026705,197.024323,299.66394,514.532471
*CCCCCOC(=O)O*,1.162572384,3.09,-41.58087957,176.2079,0.7861,0.9157,0.8467,1.183955393,1.19902377,1.214446308,1.401750373,1.437658002,1.474879836,224.24472,361.867798,618.887817
*Oc1ccc(OC(*)=O)cc1,1.316436768,3.95,-40.653412,182.17,0.9767,1.2127,1.1267,1.303677741,1.394192931,1.454292529,1.699575652,1.943773929,2.114966759,186.51001,282.482605,486.944855
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,1.249019146,4.32,-51.43017635,242.2619,0.9309,1.0809,0.9991,1.34186654,1.405835134,1.427390326,1.800605811,1.976372424,2.037443144,260.242523,438.885681,768.758545
*Cc1ccc(CO*)cc1,1.123241186,3.47,-36.6572129,166.2119,0.7478,0.8873,0.831,1.222018032,1.240848152,1.264773454,1.49332807,1.539704136,1.599651889,222.276627,344.618591,593.554077
*CCOCCOC(=O)O*,1.249511957,3.32,-42.47096948,178.1819,0.8599,1.0408,0.951,1.194660676,1.216354115,1.236179996,1.42721413,1.479517334,1.528140983,207.232071,326.284668,552.075806
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,1.261718988,4.1,-51.454845,242.2619,0.9106,1.049,1.0002,1.347425,1.424247078,1.475766472,1.81555413,2.02847974,2.177886679,266.049652,438.371124,792.097473
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.187001586,3.87,-60.121738,290.3439,0.8764,0.953,0.9242,1.381843529,1.44917838,1.493628407,1.909491538,2.100117978,2.230925818,331.276093,578.470459,1073.687134
*Cc1ccc(-c2ccc(O*)cc2)cc1,1.15756762,3.79,-48.38926637,228.2779,0.8276,0.9711,0.9294,1.308823426,1.324694863,1.368174455,1.71301876,1.754816479,1.871901338,275.822479,441.665649,798.017273
*CCc1ccc(O*)cc1,1.117254138,3.46,-36.66645048,166.2119,0.7552,0.9011,0.8304,1.235231237,1.249367996,1.286697616,1.525796208,1.560920389,1.655590756,220.100861,344.854034,584.579651
*CC(=O)c1ccc(O*)cc1,1.236724496,3.8,-39.69893898,180.1959,0.8693,1.0898,1.0019,1.274363554,1.303775154,1.351910807,1.624002469,1.699829653,1.82766283,207.291565,313.723602,534.570679
*CC(=O)CO*,1.223921061,3.7,-27.96269971,118.13,0.7766,1.0052,0.8907,1.184064698,1.209557834,1.238098074,1.402009208,1.463030155,1.532886842,152.114258,213.556152,332.618134
*COc1ccc(O*)cc1,1.204430819,3.8,-37.57476433,168.1859,0.8235,1.0164,0.9424,1.257188989,1.277026958,1.319956847,1.580524153,1.630797852,1.742286077,204.22937,308.047546,525.960266
*COC(=O)O*,1.321422577,3.73,-28.92669255,120.104,0.9104,1.3168,1.0982,1.205375835,1.238846647,1.292469569,1.452930904,1.534741015,1.670477587,131.929153,176.779282,259.922272
*OC(=O)OC(*)=O,1.358748913,4.67,-31.993067,134.088,1.1941,2.1333,1.6078,1.274336972,1.404229208,1.561735209,1.623934719,1.97185967,2.439016862,112.290421,138.148346,186.634247
