#SMILES,density(g/cm3),e,w,dst,d211,d411
C([*])C([*])(C(=O)OC(C)CC(C)C),1.03,-36.61557456,158.1306798,0.6279,0.7272,0.7809
C([*])C([*])(C(=O)Oc1ccccc1C(=O)OCC),1.22,-49.12272459,222.0892089,0.9225,0.9856,1.0677
C([*])C([*])(C)(C(=O)OCCOCC),1.1,-37.50134724,160.1099444,0.7286,0.7874,0.866
C([*])C([*])(C(=O)OCC(CC)CC),1.03,-36.60959192,158.1306798,0.6943,0.7252,0.7805
C([*])C([*])(C)(C(=O)OCC(CC)CC),1.01,-39.77590517,172.1463299,0.6638,0.7349,0.7806
C([*])C([*])(C(=O)OCC(CC)CCCC),1,-42.9382523,186.1619799,0.6448,0.7159,0.7757
C([*])C([*])(C)(C(=O)OCC(CC)CCCC),0.99,-46.10497111,200.17763,0.6522,0.7214,0.7753
C([*])C([*])(C(=O)Oc1ccccc1C(=O)OC),1.25,-45.95363664,208.0735589,1.0223,1.0593,1.1233
C([*])C([*])(C(=O)OCCOC),1.17,-31.1684252,132.0786442,0.7507,0.8347,0.9066
C([*])C([*])(C(=O)OC(CCC(CC)CCCC)CC(C)C),0.95,-61.93055121,270.2558803,0.6497,0.7149,0.7609
C([*])C([*])(C(=O)OCC(C)CC),1.05,-33.44607451,144.1150298,0.6778,0.7397,0.7982
C([*])C([*])(C(=O)OCC(C)CCC),1.03,-36.6105374,158.1306798,0.6637,0.7266,0.7891
C([*])C([*])(C(=O)Oc2ccc1ccccc1c2),1.18,-42.09770049,200.0837296,0.9135,0.9855,1.0489
C([*])C([*])(C(=O)OC(C)CCCCCC),1,-42.9419123,186.1619799,0.6761,0.7134,0.7703
C([*])C([*])(C)(C(=O)OCCC1=CC=CC=C1),1.11,-41.99832918,192.1150298,0.7538,0.8614,0.9125
C([*])C([*])(C(=O)Oc1ccccc1C(C)(C)C),1.08,-45.1666668,206.1306798,0.7291,0.8504,0.899
C([*])C([*])(C(=O)OC1CC(C)CC(C)(C)C1),1.01,-45.10627536,198.1619799,0.7057,0.7604,0.8132
C([*])C([*])(C)(C(=O)OC1CC(C)CC(C)(C)C1),1,-48.27287364,212.17763,0.6926,0.7557,0.8034
