#SMILES,density(g/cm3),e,w,dst,d211,d411
C([*])(C)C(=O)O([*]),1.31,-28.00028465,118.0629942,0.7755,0.8949,0.9747
C([*])(C)CC(=O)O([*]),1.22,-31.16990378,132.0786442,0.7511,0.8471,0.9246
O([*])C(=O)OC(C=C1)=CC=C1C(C=C2)=CC=C2CC(C=C3)=CC=C3C(C=C4)=CC=C4([*]),1.21,-88.47973771,424.1674592,0.9366,0.9833,1.044
O([*])C(=O)OC(C=C1)=CC=C1C(CCCC)(C)C(C=C2)=CC=C2([*]),1.15,-74.52644393,342.1831093,0.8579,0.8969,0.9557
O([*])C(=O)OC(C=C1)=CC=C1C(C)(C)C(C=C2)=CC=C2([*]),1.2,-65.0347481,300.1361591,0.9034,0.9609,1.0198
O([*])C(=O)OC(C=C1)=C(C)C=C1C(C)(C)C(C=C2)=CC(C)=C2([*]),1.16,-71.37548545,328.1674592,0.8583,0.9017,0.9659
O([*])C(=O)OC(C=C1)=CC=C1C(CCC)(C)C(C=C2)=CC=C2([*]),1.16,-71.36263832,328.1674592,0.8676,0.9187,0.9869
O([*])C(=O)OC(C=C1)=CC=C1C(C)C(C=C2)=CC=C2([*]),1.23,-61.86929407,286.1205091,0.914,0.9756,1.0496
O([*])C(=O)OC(C=C1)=CC=C1C2(CCCC2)C(C=C3)=CC=C3([*]),1.19,-70.35027212,326.1518092,0.9096,0.9675,1.0654
O([*])C(=O)OC(C=C1)=CC=C1C2(CCCCC2)C(C=C3)=CC=C3([*]),1.17,-73.51787293,340.1674592,0.9092,0.9503,1.0162
O([*])C(=O)OC(C([Cl])=C1)=C([Cl])C=C1C2(CCCCC2)C(C=C3([Cl]))=CC([Cl])=C3([*]),1.43,-89.70473804,476.0115698,1.282,1.2932,1.3004
O([*])C(=O)OC(C=C1)=CC=C1C(CCC)C(C=C2)=CC=C2([*]),1.18,-68.19882775,314.1518092,0.8793,0.9259,1.0097
O([*])C(=O)OC(C=C1)=CC=C1CC(C)(C)C(C=C2)=CC=C2([*]),1.18,-68.2029651,314.1518092,0.8939,0.9594,1.0253
O([*])C(=O)OC(C=C1)=CC=C1C(C2=CC=CC=C2)(C)C(C=C3)=CC=C3([*]),1.21,-76.74802784,362.1518092,0.9378,0.9841,1.0361
O([*])C(=O)C(C=C1)=CC=C1C(=O)OCCC([*]),1.31,-56.33735233,252.0997736,0.9159,1.0002,1.0728
C([*])C(C)OC(=O)O([*]),1.31,-35.25479159,148.0735589,0.8267,0.9158,1.0013
C([*])(C=C1)=CC=C1C(=O)O([*]),1.32,-36.568291,166.0629942,0.9138,1.0275,1.1214
O([*])C(=O)C(C=C1)=CC=C1CCCCC(C=C2)=CC=C2C([*])(=O),1.21,-70.33263505,326.1518092,0.8898,0.9959,1.0534
O([*])C(=O)C(C=C1)=CC=C1C(=O)OCC([*]),1.36,-53.17054332,238.0841235,0.9538,1.0458,1.1459
O([*])C(=O)C(C=CC=C1)=C1C(=O)OCC([*]),1.35,-53.16885173,238.0841235,0.9553,1.0641,1.1493
C([*])COC(C=C1)=CC=C1C(=O)O([*]),1.26,-46.95201432,210.0892089,0.8884,0.9663,1.0622
O([*])C(=O)C(=C1)C=CC=C1C(=O)OCC([*]),1.36,-53.17072172,238.0841235,0.9438,1.0845,1.1697
C([*])COC(=O)O([*]),1.4,-32.08550104,134.0579088,0.8695,0.9842,1.1102
O([*])C(=O)C(=CC=C1)C=C1C(=O)OCCCC([*]),1.27,-59.50097793,266.1154237,0.9032,0.9926,1.0939
O([*])C(=O)CCCCCCCC([*])(=O),1.14,-50.05659449,216.1361591,0.7856,0.8526,0.9105
O([*])C(=O)OC(C=C1)=CC=C1SC(C=C2)=CC=C2([*]),1.33,-58.77959509,290.0612799,1.0403,1.1316,1.2238
C([*])(=O)CCCCOC(C=C1)=CC=C1OC(C=C2)=CC=C2C(=O)O([*]),1.21,-78.47168462,358.1416384,0.9551,1.0539,1.115
O([*])C(=O)C(C=C1)=CC=C1CCCCCC(C=C2)=CC=C2C([*])(=O),1.19,-73.50757804,340.1674592,0.887,0.962,1.019
O([*])C(=O)OC(C=C1)=C([Cl])C=C1C(C)(C)C(C=C2)=CC([Cl])=C2([*]),1.34,-73.13268304,368.0582144,1.1191,1.1149,1.1015
C([*])C(C)(C)C(=O)O([*]),1.15,-34.33517986,146.0942943,0.7368,0.8132,0.8673
