#SMILES,density(g/cm3),e,w,dst,d211,d411
C([*])(C)O([*]),1.09,-21.78703773,90.06807956,0.6522,0.6792,0.751
O([*])C(COCCCCCC)C([*]),0.98,-47.98173933,204.1725446,0.6586,0.7109,0.739
C([*])(C)C(C)O([*]),0.99,-28.10653994,118.0993797,0.6321,0.6681,0.7116
C([*])CCCO([*]),0.99,-28.10076863,118.0993797,0.626,0.6674,0.7211
C([*])C(C1=CC=CC=C1)O([*]),1.11,-36.65447861,166.0993797,0.8124,0.8153,0.8894
O([*])C(C)C([*]),1.03,-24.93936732,104.146,0.6311,0.6821,0.7295
C([*])CCCOCO([*]),1.06,-35.33248442,148.1099444,0.6919,0.7345,0.7928
C([*])COCO([*]),1.15,-29.00251844,120.0786442,0.699,0.7722,0.8466
C([*])CCCCCCCO([*]),0.93,-40.75805674,174.1619799,0.6205,0.6524,0.6869
C([*])CCCCCO([*]),0.95,-34.42968277,146.1306798,0.631,0.6666,0.7174
*CCO*,1.09,-21.77178972,90.06807956,0.6853,0.6994,0.7583
C([*])C(C)OC(C=C1)=CC=C1O([*]),1.11,-43.89671597,196.1099444,0.8157,0.8364,0.914
C([*])C(C)OCO([*]),1.09,-32.17132733,134.0942943,0.6878,0.7369,0.8122
O([*])C(COCCCC)C([*]),1.01,-41.65316914,176.1412445,0.6677,0.7129,0.7544
O([*])C(C(C2=CC=CC=C2)=C1)=C(C3=CC=CC=C3)C=C1([*]),1.14,-60.11301871,290.1306798,0.8946,0.9507,1.0073
O([*])C(C(C)=C1)=C(C)C=C1([*]),1.07,-36.6788025,166.0993797,0.7913,0.824,0.8592
*OCCOC(=O)Nc2ccc(Cc1ccc(NC(*)=O)cc1)cc2,1.37,-78.14387948,358.1528718,0.936,1.0379,1.1093
C([*])(C[Cl])(C[Cl])CCO([*]),1.37,-39.35121979,200.037085,0.975,0.9596,0.9647
C([*])(=O)OC(C(C)=C1)=C(C)C=C1C(C)(C)C(C=C2(C))=CC(C)=C2O([*]),1.13,-77.70979584,356.1987594,0.8268,0.8839,0.9629
O([*])CCCOC(=O)CCC([*])(=O),1.26,-47.78424706,204.0997736,0.8548,0.9418,1.0165
O([*])CCCCCCOC(=O)CCCCCCCCC([*])(=O),1.05,-76.26934081,330.2406242,0.7649,0.821,0.8617
O([*])C(COC)C([*]),1.09,-32.15773896,134.0942943,0.6881,0.6923,0.6858
O([*])CCOC(=O)CCC([*])(=O),1.31,-44.61898784,190.0841235,0.8694,0.9849,1.0676
O([*])CCOC(=O)C(C=C1)=CC(C=C2)=C1C=C2C([*])(=O),1.33,-62.76705643,288.0997736,0.9695,1.0872,1.1539
O([*])CC([*])(C[Cl]),1.35,-28.97931923,138.0447573,0.8437,0.8475,0.8329
O([*])CCCCOC(=O)CCCCCCCCC([*])(=O),1.07,-69.93753151,302.2093241,0.7785,0.8324,0.8752
C([*])(=O)OC(C=C1)=CC=C1C(CC)(C)C(C=C2)=CC=C2O([*]),1.18,-68.19805264,314.1518092,0.89,0.9415,1.0093
C([*])(=O)C(C=C1)=CC=C1C(=O)OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O([*]),1.22,-86.11925492,404.1623739,0.9422,1.0097,1.0593
C([*])(=O)OC(C([Cl])=C1)=C([Cl])C=C1C(C)(C)C(C=C2([Cl]))=CC([Cl])=C2O([*]),1.4,-81.22191325,435.9802697,1.3366,1.341,1.3568
O([*])CCOCCOCCOCCOC(=O)NCCCCCCNC([*])(=O),1.17,-95.35235469,408.2471661,0.8695,0.9256,0.9735
O([*])CCOCCOC(=O)NCCCCCCNC([*])(=O),1.2,-74.58109476,320.1947366,0.8599,0.9258,0.9865
C([*])(=O)OC(C=C1)=CC=C1CC(C=C2)=CC=C2O([*]),1.25,-58.70437286,272.104859,0.9303,1.0042,1.1144
O([*])CCOC(=O)NC(C=C1)=CC=C1CC(C=C2)=CC=C2NC([*])(=O),1.32,-78.14410403,358.1528718,0.933,1.0405,1.0849
*Oc3ccc(C(=O)c2ccc(Oc1ccc(*)cc1)cc2)cc3,1.29,-70.38545811,334.1205091,0.9599,1.0485,1.1345
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,1.3,-59.50117727,266.1154237,0.8983,0.9912,1.0393
