#smiles,D_pred,Dk,e,w,d1,d2,d4,DK1,DK2,DK4
*CC(*)C,0.868570566,2.61,-10.500828,44.094,0.4273,0.5034,0.5645,1.228276871,1.279924613,1.321894858
*c1ccc(*)cc1,1.12974453,4.48,-15.879641,78.108,0.6983,0.8072,0.8626,1.518729457,1.723279611,1.954005416
*CCc1ccc(-c2ccc(*)cc2)cc1,1.072191477,3.58,-37.10195984,182.2519,0.7551,0.8097,0.882,1.659677873,1.718069687,1.755981559
*Cc1ccc(C*)cc1,1.025377989,3.97,-22.220943,106.16,0.6584,0.7233,0.8136,1.488153744,1.547966809,1.613847356
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.154276371,3.67,-48.825317,244.3179,0.825,0.8648,0.8864,1.840523213,1.954563856,2.011722889
*Cc1ccc(Cc2ccc(*)cc2)cc1,1.077259541,3.41,-37.099819,182.2519,0.7553,0.8023,0.8896,1.613323737,1.666308795,1.698715221
*Cc1ccc(C(=O)c2ccc(*)cc2)cc1,1.215818405,3.96,-40.132263,196.2359,0.8553,0.9232,1.0197,1.722162037,1.830301892,1.860509211
*CCCc1ccc(*)cc1,0.995388985,3.14,-25.37950386,120.1861,0.6538,0.7295,0.7869,1.46629926,1.505143728,1.557635324
*CCCC(*)=O,1.121876717,3.27,-16.684238,72.104,0.645,0.73,0.8177,1.344450113,1.385924655,1.443429853
*CCC(=O)c1ccc(*)cc1,1.173098683,3.81,-28.41011256,134.17,0.7926,0.8866,0.9591,1.571778292,1.624220024,1.673976829
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,1.223279238,3.96,-40.134838,196.2359,0.861,0.9321,1.0213,1.776084617,1.900530252,1.89045365
*CC(=O)c1ccc(C(*)=O)cc1,1.333754182,4.2,-31.436991,148.154,0.9651,1.0577,1.1538,1.752576188,1.877689719,1.889845256
*CC(=O)Cc1ccc(*)cc1,1.175742745,3.64,-28.41328008,134.17,0.7843,0.8902,0.9674,1.542617803,1.606474814,1.660677711
*CC(=O)CC(*)=O,1.343058228,3.79,-19.71809,86.088,0.8972,1.0323,1.1428,1.476598872,1.570128872,1.637002741
*CC(=O)OC(*)=O,1.364092588,3.95,-20.65417242,88.062,1.1462,1.407,1.5595,1.621731619,1.812409234,1.918273133
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.261523008,4.43,-51.847546,258.3019,0.9193,0.9614,0.9926,1.978641077,2.137735331,2.248727366
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,1.322487235,4.54,-43.15087105,210.2199,0.9976,1.0677,1.1055,1.880159698,2.035258198,2.136514476
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,1.259401798,3.47,-56.76254115,268.2979,0.9293,1.023,1.0974,1.7268166,1.773963705,1.834075037
