SMILES,RI,density(g/cm3),D_pred,1E,1w,1D,2D,4D,1RI,2RI,4RI,1DK,2DK,4DK,1V,2V,4V
C([*])C([*])(OCCCCCCCC),1.4613,0.92,0.931541026,-36.705193,158.1670653,0.5509,0.6401,0.7026,1.164539685,1.177596938,1.195836633,1.356152677,1.386734549,1.430025252,152.929382,283.120697,514.861328
C([*])C([*])(OC),1.467,1.03,0.995065391,-14.554558,60.05751488,0.5021,0.6367,0.7071,1.115916574,1.152242784,1.170147442,1.2452698,1.327663433,1.369245036,119.691994,185.65126,331.424164
[*]CC[*],1.51,0.92,0.901824594,-7.33637,30.068,0.3774,0.4533,0.5157,1.093312938,1.116751604,1.137721319,1.195333181,1.247134145,1.2944098,79.676003,128.229294,221.505554
C([*])C([*])(OCC),1.454,0.99,0.977343857,-17.720358,74.07316494,0.5462,0.6226,0.6797,1.131793775,1.153318607,1.169784884,1.280957148,1.330143809,1.368396674,135.712997,234.903534,427.324493
C([*])=CCC(C)C([*]),1.462,0.91,0.92212069,-18.937393,84.09390038,0.495,0.5855,0.6376,1.14308971,1.178175814,1.196755082,1.306654084,1.388098249,1.432222727,171.159119,284.082031,518.667847
C([*])C([*])(C1=CC=C(OC)C=C1),1.5967,1.06,1.034496188,-29.447748,136.088815,0.6767,0.8102,0.8633,1.219544176,1.244621131,1.267064587,1.487287998,1.549081759,1.605452668,201.444382,321.118164,593.007874
C([*])C([*])(C1=C(C)C=CC=C1),1.5874,1.01,0.988735795,-25.383686,120.0939004,0.7009,0.7423,0.8005,1.228245817,1.236734229,1.260833023,1.508587788,1.529511553,1.589699911,171.51651,194.564133,345.925049
C([*])C([*])(C=C),1.5,0.93,0.943905771,-12.606043,56.06260026,0.4586,0.5664,0.6314,1.136367264,1.171038968,1.192233719,1.291330558,1.371332264,1.421421241,122.342384,333.690674,624.004578
C([*])C([Cl])=CC([*]),1.556,1.25,1.154374719,-16.665495,90.0236279,0.8761,0.9005,1.0226,1.230968579,1.237865494,1.274938659,1.515283643,1.532310981,1.625468585,101.697937,195.654373,342.68219
C([*])C([*])(C)(C(=O)OCCOCC),1.4833,1.1,1.057558775,-37.50135,160.1099444,0.7286,0.7874,0.866,1.178286263,1.193749744,1.213499431,1.388358518,1.425038451,1.472580868,220.560898,404.321167,757.793335
C([*])C([*])(C(=O)OCCOC),1.463,1.17,1.101498842,-31.168428,132.0786442,0.7507,0.8347,0.9066,1.178566173,1.198123571,1.218572715,1.389018224,1.435500092,1.484919462,176.446014,444.059387,836.232422
C([*])C([*])(C(=O)Oc2ccc1ccccc1c2),1.6298,1.18,1.122192621,-42.097706,200.0837296,0.9135,0.9855,1.0489,1.334593713,1.32227202,1.333785745,1.781140378,1.748403294,1.778984414,220.413849,559.25,1049.665894
C([*])C([*])(C)(C(=O)OCCC1=CC=CC=C1),1.5592,1.11,1.062992215,-41.998325,192.1150298,0.7538,0.8614,0.9125,1.212367076,1.242454201,1.25783361,1.469833928,1.543692442,1.582145392,255.923752,359.402893,674.086121
C([*])C([*])(C)(C(=O)OC1CC(C)CC(C)(C)C1),1.485,1,0.985234261,-48.272873,212.17763,0.6926,0.7557,0.8034,1.180884644,1.19701788,1.211322424,1.394488542,1.432851806,1.467302016,307.646332,355.697357,658.004883
C([*])C([*])(C(=O)OCCOCC),1.465,1.13,1.074936032,-34.334896,146.0942943,0.7369,0.808,0.8586,1.178253486,1.19637988,1.207726691,1.388281277,1.431324818,1.458603761,199.697205,404.389374,733.058289
C([*])C([*])(C(=O)OCCCOC),1.471,1.13,1.072691202,-34.334274,146.0942943,0.7107,0.8164,0.8796,1.169710142,1.195836346,1.212281836,1.368221817,1.430024567,1.469627251,207.667267,405.260498,739.057983
C([*])C([*])(C)(C(=O)OCC1=CC=CC=C1),1.568,1.14,1.07882762,-38.830402,178.0993797,0.8079,0.8747,0.9565,1.239149912,1.25297759,1.275221712,1.535492504,1.569952842,1.626190415,222.298172,350.134827,634.419495
C([*])C([*])(C(=O)OCCCC),1.4631,1.07,1.033591747,-30.279949,130.0993797,0.7027,0.7379,0.8114,1.175095836,1.18274,1.204347071,1.380850224,1.398873907,1.450451866,185.770554,445.222534,818.987854
C([*])C([*])(C)(C(=O)OC1CCCCC1),1.5066,1.05,1.006895185,-38.773491,170.1306798,0.6695,0.7603,0.8242,1.173744723,1.196429712,1.215372283,1.377676674,1.431444055,1.477129786,255.247665,716.289856,1330.985107
C([*])C([*])(C)(C(=O)OCCCCCCCCCCCC),1.474,0.96,0.964005947,-58.761436,256.2402303,0.6557,0.7132,0.7661,1.170621709,1.185154849,1.201145087,1.370355186,1.404592016,1.442749521,392.751556,260.714355,473.814026
C([*])C([*])(C(=O)OCC),1.4685,1.15,1.075477958,-23.951033,102.0680796,0.6607,0.7758,0.8495,1.160019688,1.186975004,1.208909811,1.345645676,1.408909659,1.461462931,154.590591,476.629181,872.488098
C([*])C([*])(C)(C(=O)OCCCCCC),1.4813,1.01,0.996915102,-39.775356,172.1463299,0.6458,0.7186,0.7831,1.163963982,1.182725781,1.200127406,1.354812153,1.398840272,1.440305791,268.182037,384.022247,715.664551
C([*])C([*])(C)(C(=O)OCC(C)C),1.477,1.05,1.019204259,-33.449146,144.1150298,0.6556,0.746,0.7977,1.16433619,1.187729148,1.20123085,1.355678763,1.410700529,1.442955554,220.384781,348.452454,635.118164
C([*])C([*])(C)(C(=O)OC(C)C),1.4728,1.07,1.033635974,-30.286486,130.0993797,0.6445,0.7415,0.8104,1.160265394,1.185056113,1.203299514,1.346215784,1.404357991,1.44792972,202.174149,209.313339,384.304596
C([*])C([*])(C(=O)OC),1.476,1.22,1.122887969,-20.783291,88.0524295,0.7078,0.8322,0.9014,1.166936945,1.192283776,1.211313363,1.361741833,1.421540602,1.467280063,124.467346,253.041077,459.876007
C([*])C([*])(C)(C(=O)OC),1.489,1.15,1.084264517,-23.949635,102.0680796,0.6551,0.7994,0.8752,1.157448565,1.195084455,1.210232733,1.339687181,1.428226854,1.464663267,155.89505,362.703735,670.114014
C([*])C([*])(C)(C(=O)OC1=CC=CC=C1),1.5706,1.15,1.097364187,-35.668869,164.0837296,0.7891,0.8999,0.9711,1.24443805,1.258859561,1.291073499,1.548626061,1.584727395,1.66687078,208.106995,344.410217,636.314087
C([*])C([*])(C)(C(=O)OCCC),1.484,1.07,1.032905698,-30.282185,130.0993797,0.6596,0.7502,0.8089,1.164280338,1.187338777,1.203726293,1.355548706,1.40977337,1.448956988,197.805252,392.536041,711.060425
C([*])C([*])(C)(C(=O)OC(C)(C)C),1.4638,1.05,1.019221306,-33.454704,144.1150298,0.6375,0.7296,0.8027,1.159081088,1.182979073,1.201726142,1.343468968,1.399439486,1.444145721,226.371628,314.234833,576.482666
C([*])C([*])(OC(=O)C),1.4665,1.22,1.123973846,-20.787582,88.0524295,0.7323,0.8366,0.9139,1.172636206,1.199482021,1.21641567,1.375075671,1.438757119,1.479667081,120.307312,207.800507,380.740509
C([*])C([*])(Cl)(C(=O)OC(C)CC),1.5,1.22,1.151597023,-34.325493,164.0604073,0.8473,0.9304,0.9923,1.201824128,1.227116202,1.2409809,1.444381235,1.505814172,1.540033593,192.585114,345.0289,650.768005
*CC(*)C,1.4735,0.87,0.90581131,-10.500828,44.06260026,0.4267,0.503,0.5646,1.108111361,1.129063174,1.149532115,1.227910789,1.274783651,1.321424083,103.342606,174.26416,302.058746
C([*])C([*])(Cl)(C(=O)OC1CCCCC1),1.532,1.18,1.132496238,-39.647785,190.0760574,0.8638,0.9389,1.0101,1.214625403,1.237714839,1.252912814,1.475314869,1.531938022,1.56979052,219.04213,393.035461,737.206787
C([*])C([*])(C1=C(OC)C=CC=C1),1.5932,1.06,1.037131906,-29.447336,136.088815,0.7212,0.8164,0.8786,1.229910441,1.247242487,1.26525939,1.512679693,1.555613822,1.600881324,188.833618,338.318481,621.781189
C([*])C([*])(C)(C(=O)OCC[Cl]),1.517,1.28,1.200219393,-31.155605,150.0447573,0.89,0.993,1.0924,1.205158871,1.232780313,1.253096293,1.452407905,1.519747299,1.570250321,167.609497,297.641693,539.593018
