SMILES,Tg,density(g/cm3),1E,2E,4E,1iso,2iso,4iso,1w,2w,4w,1V,2V,4V,1D,2D,4D,1HOMO,1LUMO,1gap,2HOMO,2LUMO,2gap,4HOMO,4LUMO,4gap,num
C([*])C([*])(C(=O)Oc1ccccc1C(=O)OCC),303,1.22,-49.12272459,-97.25058583,-193.5057712,110.0503815,214.6173422,429.3704658,222.2319,442.448,882.8802,242.557251,448.976471,826.960144,0.9225,0.9856,1.0677,-9.949193785,-0.705965762,9.243228023,-9.788909967,-0.679325659,9.109584309,-9.755217185,-0.862247156,8.892970029,acrylate_002
C([*])C([*])(C(=O)OCC(CC)CC),223,1.03,-36.60959192,-72.22173288,-143.4383198,68.66377906,136.4272663,272.1308694,158.2339,314.4518,626.8879,229.690521,433.662109,803.48877,0.6943,0.7252,0.7805,-10.76437446,0.915288853,11.67966331,-10.63336335,0.892239135,11.52560249,-10.63375862,0.705983217,11.33974183,acrylate_004
C([*])C([*])(C(=O)OCC(CC)CCCC),223,1,-42.9382523,-84.88055267,-168.7609369,81.76653567,162.7863549,325.3238244,186.2859,370.5558,739.0959,289.833191,517.704346,952.786621,0.6448,0.7159,0.7757,-10.74919665,0.930477082,11.67967373,-10.57796061,0.893844991,11.4718056,-10.70631206,0.582557011,11.28886907,acrylate_006
C([*])C([*])(C)(C(=O)OCC(CC)CCCC),263,0.99,-46.10497111,-91.20915822,-181.4090599,88.53664607,176.0806518,350.8310364,200.3119,398.6078,795.1999,308.236359,552.608398,1025.779175,0.6522,0.7214,0.7753,-10.61791109,0.949293173,11.56720426,-10.59355659,0.844024912,11.4375815,-10.56102771,0.736798818,11.29782653,acrylate_007
C([*])C([*])(C(=O)OCCOC),223,1.17,-31.1684252,-61.34236877,-121.6721499,54.05248174,106.5595566,214.5682056,132.156,262.2959,522.576,176.446014,314.234833,576.482666,0.7507,0.8347,0.9066,-9.950455877,0.671300383,10.62175626,-9.690459269,0.521722753,10.21218202,-9.756460658,0.361146836,10.11760749,acrylate_009
C([*])C([*])(C(=O)OC(CCC(CC)CCCC)CC(C)C),253,0.95,-61.93055121,-122.8648882,-244.7269135,120.3161327,239.9757193,477.8465638,270.4418,538.8679,1075.723,417.062927,753.88446,1413.772949,0.6497,0.7149,0.7609,-10.64731244,0.988342265,11.6356547,-10.55040322,0.878528338,11.42893155,-10.49499227,0.75338467,11.24837694,acrylate_010
C([*])C([*])(C(=O)OCC(C)CC),241,1.05,-33.44607451,-65.8943962,-130.7827153,62.19671022,123.4553301,247.4423407,144.2079,286.3998,570.7839,213.191818,387.232147,715.11261,0.6778,0.7397,0.7982,-10.80696349,0.924624871,11.73158836,-10.60303458,0.89914625,11.50218083,-10.67252206,0.661259495,11.33378156,acrylate_011
C([*])C([*])(C(=O)OCC(C)CCC),235,1.03,-36.6105374,-72.2229632,-143.4431922,68.83795371,136.5729754,273.9751616,158.2339,314.4518,626.8879,239.249771,432.85614,794.548401,0.6637,0.7266,0.7891,-10.79002488,0.923388509,11.71341339,-10.6289445,0.875901196,11.50484569,-10.6266256,0.756600274,11.38322587,acrylate_012
C([*])C([*])(C(=O)Oc2ccc1ccccc1c2),358,1.18,-42.09770049,-83.20729209,-165.4180493,120.8380951,215.9386459,417.860449,200.2259,398.436,794.8561,220.413849,404.321167,757.793335,0.9135,0.9855,1.0489,-8.927380386,-0.659893073,8.267487313,-8.666771657,-0.544935853,8.121835804,-8.605272492,-0.50932709,8.095945401,acrylate_013
C([*])C([*])(C(=O)OC(C)CCCCCC),228,1,-42.9419123,-84.88770616,-168.7713252,81.94600792,163.0358743,325.9926615,186.2859,370.5558,739.0959,278.168182,519.499573,959.526917,0.6761,0.7134,0.7703,-10.73078688,0.955898238,11.68668512,-10.57886025,0.914549162,11.49340941,-10.5389791,0.69277237,11.23175147,acrylate_014
